id,y_true,y_pred,absolute_error
1733842683.290226,74.0,88.10180945898983,14.101809458989834
1733842688.306071,84.0,174.7880372129362,90.78803721293619
1733842693.321102,52.0,174.51021586431253,122.51021586431253
1733842698.335976,83.0,139.16518517681556,56.165185176815555
1733842703.350137,252.0,153.68650947308407,98.31349052691593
1733842708.364275,84.0,124.0216062050591,40.0216062050591
1733842713.380397,69.0,100.66339134964326,31.663391349643263
1733842718.392252,182.0,139.11094848513832,42.88905151486168
1733842723.409348,206.0,166.91487055437787,39.08512944562213
1733842728.425229,109.0,108.54802746526389,0.45197253473611454
1733842733.441545,73.0,152.38094687603638,79.38094687603638
1733842738.459526,144.0,182.84144086141268,38.84144086141268
1733842743.47558,128.0,168.2136323571602,40.21363235716021
1733842748.490668,88.0,95.06218626579104,7.062186265791041
1733842753.506895,47.0,100.85985576049747,53.85985576049747
1733842758.522063,281.0,253.30735119625587,27.692648803744135
1733842763.53863,72.0,65.3907931623051,6.609206837694899
1733842768.550197,341.0,261.5033009537206,79.49669904627939
1733842773.564404,103.0,129.83194068571228,26.831940685712283
1733842778.580641,297.0,207.99720922269023,89.00279077730977
1733842783.595356,181.0,84.17329376111893,96.82670623888107
1733842788.611823,100.0,153.4804155188536,53.48041551885359
1733842793.62679,296.0,221.3401360542984,74.6598639457016
1733842798.636485,264.0,244.30072899532888,19.699271004671118
1733842803.652631,177.0,119.15634476346727,57.843655236532726
